Country,PM25,PM10,NO2
Albania,0.0,0.0,24.7
Andorra,0.0,26.3,28.74
Argentina,0.0,25.4,19.57
Australia,4.368,16.844,4.74
Austria,3.909915966386555,14.507731092436975,17.37168067226891
Bahrain,62.64,0.0,0.0
Bangladesh,50.25111111111111,126.70444444444443,28.586666666666662
Belgium,8.70328125,14.3653125,19.60484375
Bosnia and Herzegovina,16.329166666666666,23.337500000000002,15.503333333333332
Bulgaria,4.722758620689655,33.94724137931035,10.766206896551726
Canada,6.3180571428571435,1.7247428571428571,8.591028571428572
China,44.61554054054054,0.0,0.0
Colombia,15.21,0.0,0.0
Costa Rica,0.0,24.0,0.0
Croatia,9.146470588235294,13.541176470588235,10.444117647058825
Cyprus,13.724,21.492,9.02
Czechia,10.261894736842105,21.25926315789474,7.744315789473685
Denmark,5.225555555555555,7.993333333333333,11.954444444444444
Ecuador,14.015,43.375,19.395
Estonia,4.55,7.41857142857143,5.514285714285714
Ethiopia,27.24,0.0,0.0
Finland,2.1786206896551725,9.815862068965519,7.637586206896552
France,3.8616901408450706,14.696225352112675,15.633323943661972
Georgia,20.0,39.0,0.0
Germany,5.243592814371257,13.292065868263474,22.821467065868262
Greece,8.777999999999999,26.822,24.998
Hungary,1.563157894736842,24.287894736842105,17.103157894736842
Iceland,4.044444444444444,9.104444444444445,7.814444444444444
India,12.105496688741722,93.10281456953642,21.557980132450332
Indonesia,30.060000000000002,0.0,0.0
Iran (Islamic Republic of),29.57,0.0,17.236
Iraq,0.0,95.5,61.845
Ireland,3.9484615384615385,7.575384615384616,8.645384615384616
Italy,8.512605633802817,21.19145539906103,20.72077464788732
Jordan,0.0,68.9675,5.78
Kuwait,47.13285714285714,84.06000000000002,20.84
Latvia,12.712,18.137999999999998,9.688
Lithuania,5.336363636363637,16.33818181818182,12.728181818181817
Luxembourg,4.92,12.281666666666666,15.005
Madagascar,128.0,143.0,0.0
Malta,8.73,13.4675,13.7425
Mexico,12.692307692307692,42.495,0.0
Monaco,0.0,16.5,35.0
Mongolia,86.0,132.0,0.0
Montenegro,0.0,33.417500000000004,13.35
Myanmar,0.0,24.634999999999998,0.0
Nepal,39.28,23.497500000000002,0.0
Netherlands,6.734464285714286,17.126428571428573,19.78392857142857
New Zealand,7.317142857142857,17.55142857142857,1.6078571428571429
North Macedonia,4.8311111111111105,51.06333333333333,7.401111111111111
Norway,4.830666666666667,12.273333333333333,17.221666666666668
Peru,19.49833333333333,65.87666666666667,8.958333333333334
Philippines,13.066666666666666,22.5,0.0
Poland,9.174224598930481,29.363903743315507,9.630267379679143
Portugal,2.6597619047619045,19.312380952380952,12.618571428571428
Qatar,44.0,148.0,29.0
Republic of Korea,24.235294117647058,43.411764705882355,35.94117647058823
Romania,2.8360493827160496,17.260617283950616,17.343827160493827
Russian Federation,0.0,19.73,0.0
Saudi Arabia,75.0,115.7,0.0
Senegal,19.86,143.31,22.1
Serbia,0.0,37.804,24.084
Singapore,14.0,0.0,25.0
Slovakia,17.134999999999998,23.884999999999998,13.319333333333333
Slovenia,3.5421428571428573,24.61357142857143,14.39
South Africa,9.92875,19.55125,15.1375
Spain,2.89973597359736,14.482013201320132,15.848118811881188
Sri Lanka,31.39,0.0,0.0
Sweden,1.7023728813559322,9.760847457627118,11.584745762711865
Switzerland,2.844128440366972,13.93348623853211,21.66651376146789
Thailand,0.0,40.477391304347826,0.0
Trinidad and Tobago,7.35,26.575000000000003,8.0
Turkey,4.0232,46.2633,15.2557
Uganda,53.71,0.0,0.0
United Arab Emirates,6.558,93.218,44.041999999999994
United Kingdom,4.852020202020202,6.792828282828283,22.28171717171717
United States of America,3.4202072538860104,11.372487046632124,5.729533678756477
Viet Nam,40.955,0.0,0.0
